episode,score,epsilon
1,-1317.5,0.995
2,-4558.5,0.990025
3,-1271.0,0.985074875
4,-1614.0,0.9801495006250001
5,-3315.5,0.9752487531218751
6,-1904.5,0.9703725093562657
7,-1020.5,0.9655206468094844
8,-466.5,0.960693043575437
9,-981.0,0.9558895783575597
10,-3868.5,0.9511101304657719
11,-3709.0,0.946354579813443
12,-2176.5,0.9416228069143757
13,-696.5,0.9369146928798039
14,-3026.0,0.9322301194154049
15,-1644.5,0.9275689688183278
16,-1659.5,0.9229311239742362
17,-1816.0,0.918316468354365
18,-2036.0,0.9137248860125932
19,-780.5,0.9091562615825302
20,-593.5,0.9046104802746175
21,-712.5,0.9000874278732445
22,-810.5,0.8955869907338783
23,-283.0,0.8911090557802088
24,-1086.0,0.8866535105013078
25,-1962.5,0.8822202429488013
26,-838.0,0.8778091417340573
27,-1189.0,0.8734200960253871
28,-1296.5,0.8690529955452602
29,-1565.0,0.8647077305675338
30,-645.5,0.8603841919146962
31,-1135.0,0.8560822709551227
32,-659.0,0.851801859600347
33,-469.5,0.8475428503023453
34,-188.0,0.8433051360508336
35,-388.5,0.8390886103705794
36,-829.5,0.8348931673187264
37,-258.5,0.8307187014821328
38,-341.5,0.8265651079747222
39,-317.5,0.8224322824348486
40,-648.5,0.8183201210226743
41,-581.0,0.8142285204175609
42,-380.0,0.810157377815473
43,-152.0,0.8061065909263957
44,-415.0,0.8020760579717637
45,-763.5,0.798065677681905
46,-465.5,0.7940753492934954
47,-323.5,0.7901049725470279
48,-616.5,0.7861544476842928
49,-275.0,0.7822236754458713
50,-422.5,0.778312557068642
51,-611.0,0.7744209942832988
52,-437.0,0.7705488893118823
53,-80.0,0.7666961448653229
54,-359.5,0.7628626641409962
55,-888.5,0.7590483508202912
56,-537.5,0.7552531090661897
57,-678.0,0.7514768435208588
58,-430.5,0.7477194593032545
59,-548.0,0.7439808620067382
60,-595.0,0.7402609576967045
61,-142.0,0.736559652908221
62,-659.0,0.7328768546436799
63,-324.0,0.7292124703704616
64,-246.0,0.7255664080186093
65,-134.0,0.7219385759785162
66,-191.0,0.7183288830986236
67,-709.5,0.7147372386831305
68,-509.0,0.7111635524897149
69,-528.0,0.7076077347272662
70,-356.5,0.7040696960536299
71,-242.5,0.7005493475733617
72,-385.0,0.697046600835495
73,-779.5,0.6935613678313175
74,-316.0,0.6900935609921609
75,-492.0,0.6866430931872001
76,-609.0,0.6832098777212641
77,-273.5,0.6797938283326578
78,-402.0,0.6763948591909945
79,-424.5,0.6730128848950395
80,-586.5,0.6696478204705644
81,-331.5,0.6662995813682115
82,-376.5,0.6629680834613705
83,-401.5,0.6596532430440636
84,-682.5,0.6563549768288433
85,-611.5,0.653073201944699
86,-649.5,0.6498078359349755
87,-541.5,0.6465587967553006
88,-224.0,0.6433260027715241
89,-753.0,0.6401093727576664
90,-995.5,0.6369088258938781
91,-725.0,0.6337242817644086
92,-442.0,0.6305556603555866
93,-417.0,0.6274028820538087
94,-636.5,0.6242658676435396
95,-620.5,0.6211445383053219
96,-215.0,0.6180388156137953
97,-355.0,0.6149486215357263
98,-410.0,0.6118738784280476
99,-197.0,0.6088145090359074
100,-460.0,0.6057704364907278
101,-633.0,0.6027415843082742
102,-132.5,0.5997278763867329
103,-437.5,0.5967292370047992
104,-571.0,0.5937455908197752
105,-422.0,0.5907768628656763
106,-370.5,0.5878229785513479
107,-291.5,0.5848838636585911
108,-302.0,0.5819594443402982
109,-410.5,0.5790496471185967
110,-474.0,0.5761543988830038
111,-666.0,0.5732736268885887
112,-548.5,0.5704072587541458
113,-414.0,0.567555222460375
114,-194.0,0.5647174463480732
115,-318.0,0.5618938591163328
116,-551.5,0.5590843898207511
117,-470.5,0.5562889678716474
118,-743.0,0.5535075230322891
119,-282.0,0.5507399854171277
120,-425.0,0.547986285490042
121,-536.5,0.5452463540625918
122,-635.0,0.5425201222922789
123,-504.0,0.5398075216808175
124,-406.0,0.5371084840724134
125,-597.0,0.5344229416520513
126,-342.0,0.531750826943791
127,-303.0,0.5290920728090721
128,-286.0,0.5264466124450268
129,-377.0,0.5238143793828016
130,-579.5,0.5211953074858876
131,-786.5,0.5185893309484582
132,-336.5,0.5159963842937159
133,-337.0,0.5134164023722473
134,-737.0,0.510849320360386
135,-890.0,0.5082950737585841
136,-444.0,0.5057535983897912
137,-593.0,0.5032248303978422
138,-532.5,0.500708706245853
139,-713.0,0.4982051627146237
140,-401.0,0.49571413690105054
141,-705.0,0.4932355662165453
142,-438.5,0.4907693883854626
143,-443.0,0.4883155414435353
144,-508.5,0.4858739637363176
145,-792.5,0.483444593917636
146,-159.5,0.4810273709480478
147,-597.0,0.47862223409330756
148,-742.5,0.47622912292284103
149,-581.5,0.4738479773082268
150,-681.0,0.47147873742168567
151,-564.5,0.46912134373457726
152,-347.0,0.46677573701590436
153,-674.0,0.46444185833082485
154,-586.5,0.46211964903917074
155,-325.5,0.4598090507939749
156,-662.0,0.457510005540005
157,-608.0,0.45522245551230495
158,-452.0,0.4529463432347434
159,-338.5,0.4506816115185697
160,-492.0,0.4484282034609769
161,-657.0,0.446186062443672
162,-407.0,0.4439551321314536
163,-760.0,0.4417353564707963
164,-382.0,0.43952667968844233
165,-467.5,0.43732904629000013
166,-640.5,0.4351424010585501
167,-529.5,0.43296668905325736
168,-775.0,0.43080185560799106
169,-533.5,0.4286478463299511
170,-482.5,0.42650460709830135
171,-551.0,0.42437208406280985
172,-414.5,0.4222502236424958
173,-715.0,0.42013897252428334
174,-138.5,0.4180382776616619
175,-423.5,0.4159480862733536
176,-347.5,0.41386834584198684
177,-716.5,0.4117990041127769
178,-365.5,0.40974000909221303
179,-682.0,0.40769130904675194
180,-590.0,0.40565285250151817
181,-714.0,0.4036245882390106
182,-558.5,0.4016064652978155
183,-360.0,0.3995984329713264
184,-523.5,0.3976004408064698
185,-431.5,0.39561243860243744
186,-778.0,0.3936343764094253
187,-842.5,0.39166620452737816
188,-482.0,0.3897078735047413
189,-735.5,0.3877593341372176
190,-576.0,0.3858205374665315
191,-498.5,0.38389143477919885
192,-584.5,0.3819719776053028
193,-730.5,0.3800621177172763
194,-569.5,0.37816180712868996
195,-865.0,0.37627099809304654
196,-716.0,0.3743896431025813
197,-561.5,0.37251769488706843
198,-561.0,0.3706551064126331
199,-551.0,0.36880183088056995
200,-560.5,0.3669578217261671
201,-600.0,0.36512303261753626
202,-479.5,0.3632974174544486
203,-788.5,0.3614809303671764
204,-466.5,0.3596735257153405
205,-713.0,0.3578751580867638
206,-517.5,0.35608578229633
207,-451.5,0.3543053533848483
208,-858.5,0.35253382661792404
209,-292.5,0.3507711574848344
210,-692.5,0.34901730169741024
211,-491.0,0.3472722151889232
212,-590.5,0.3455358541129786
213,-414.0,0.3438081748424137
214,-581.0,0.3420891339682016
215,-586.5,0.3403786882983606
216,-505.0,0.3386767948568688
217,-577.5,0.33698341088258443
218,-642.5,0.3352984938281715
219,-807.0,0.33362200135903064
220,-647.5,0.33195389135223546
221,-638.5,0.3302941218954743
222,-453.0,0.32864265128599696
223,-800.0,0.326999438029567
224,-468.5,0.3253644408394192
225,-378.5,0.3237376186352221
226,-512.0,0.322118930542046
227,-569.0,0.32050833588933575
228,-661.0,0.31890579420988907
229,-779.0,0.3173112652388396
230,-648.0,0.3157247089126454
231,-921.5,0.3141460853680822
232,-526.5,0.3125753549412418
233,-1177.5,0.31101247816653554
234,-581.5,0.30945741577570285
235,-569.0,0.3079101286968243
236,-1043.5,0.3063705780533402
237,-769.5,0.30483872516307353
238,-911.5,0.3033145315372582
239,-388.0,0.3017979588795719
240,-826.0,0.30028896908517405
241,-982.0,0.2987875242397482
242,-630.0,0.29729358661854943
243,-593.5,0.29580711868545667
244,-869.5,0.2943280830920294
245,-727.0,0.29285644267656924
246,-709.0,0.2913921604631864
247,-747.0,0.28993519966087045
248,-828.0,0.2884855236625661
249,-743.0,0.28704309604425327
250,-733.0,0.285607880564032
251,-931.0,0.28417984116121187
252,-640.0,0.2827589419554058
253,-792.5,0.28134514724562876
254,-576.5,0.2799384215094006
255,-838.0,0.27853872940185365
256,-712.5,0.27714603575484437
257,-913.5,0.2757603055760701
258,-670.0,0.2743815040481898
259,-794.5,0.2730095965279488
260,-636.5,0.27164454854530906
261,-825.0,0.2702863258025825
262,-693.5,0.2689348941735696
263,-907.5,0.26759021970270175
264,-528.5,0.2662522686041882
265,-646.0,0.2649210072611673
