episode,score,epsilon
1,-5071.0,0.995
2,-561.5,0.990025
3,-2299.0,0.985074875
4,-750.5,0.9801495006250001
5,-2030.5,0.9752487531218751
6,-925.0,0.9703725093562657
7,-648.0,0.9655206468094844
8,-1048.0,0.960693043575437
9,-2933.0,0.9558895783575597
10,-3205.0,0.9511101304657719
11,-940.0,0.946354579813443
12,-4125.0,0.9416228069143757
13,-3038.5,0.9369146928798039
14,-2039.0,0.9322301194154049
15,-704.0,0.9275689688183278
16,-902.0,0.9229311239742362
17,-1164.5,0.918316468354365
18,-3071.0,0.9137248860125932
19,-1519.0,0.9091562615825302
20,-500.5,0.9046104802746175
21,-496.0,0.9000874278732445
22,-274.0,0.8955869907338783
23,-809.0,0.8911090557802088
24,-332.5,0.8866535105013078
25,-930.5,0.8822202429488013
26,-2741.0,0.8778091417340573
27,-1175.0,0.8734200960253871
28,-1373.5,0.8690529955452602
29,-851.5,0.8647077305675338
30,-617.5,0.8603841919146962
31,-825.0,0.8560822709551227
32,-631.5,0.851801859600347
33,-798.5,0.8475428503023453
34,-640.5,0.8433051360508336
35,-1518.0,0.8390886103705794
36,27.5,0.8348931673187264
37,123.5,0.8307187014821328
38,-383.0,0.8265651079747222
39,-511.0,0.8224322824348486
40,-344.5,0.8183201210226743
41,-487.0,0.8142285204175609
42,-125.5,0.810157377815473
43,-208.5,0.8061065909263957
44,-1341.0,0.8020760579717637
45,-234.0,0.798065677681905
46,-324.0,0.7940753492934954
47,-674.0,0.7901049725470279
48,-321.5,0.7861544476842928
49,24.5,0.7822236754458713
50,-466.5,0.778312557068642
51,-129.0,0.7744209942832988
52,-312.0,0.7705488893118823
53,-497.5,0.7666961448653229
54,-931.5,0.7628626641409962
55,-305.5,0.7590483508202912
56,169.5,0.7552531090661897
57,-123.0,0.7514768435208588
58,49.0,0.7477194593032545
59,-952.5,0.7439808620067382
60,-1205.0,0.7402609576967045
61,-533.0,0.736559652908221
62,-155.5,0.7328768546436799
63,-419.5,0.7292124703704616
64,-382.5,0.7255664080186093
65,-353.5,0.7219385759785162
66,-365.0,0.7183288830986236
67,50.5,0.7147372386831305
68,-428.5,0.7111635524897149
69,10.0,0.7076077347272662
70,-419.5,0.7040696960536299
71,-418.0,0.7005493475733617
72,-332.0,0.697046600835495
73,185.5,0.6935613678313175
74,-326.0,0.6900935609921609
75,-212.5,0.6866430931872001
76,-705.5,0.6832098777212641
77,-308.0,0.6797938283326578
78,-262.5,0.6763948591909945
79,-123.5,0.6730128848950395
80,69.0,0.6696478204705644
81,-2.0,0.6662995813682115
82,-116.5,0.6629680834613705
83,-1.0,0.6596532430440636
84,9.0,0.6563549768288433
85,-49.0,0.653073201944699
86,-209.0,0.6498078359349755
87,-394.5,0.6465587967553006
88,-163.0,0.6433260027715241
89,-573.5,0.6401093727576664
90,-178.5,0.6369088258938781
91,-365.5,0.6337242817644086
92,-100.5,0.6305556603555866
93,-416.5,0.6274028820538087
94,-374.5,0.6242658676435396
95,114.5,0.6211445383053219
96,-396.5,0.6180388156137953
97,-741.5,0.6149486215357263
98,-1080.5,0.6118738784280476
99,-178.0,0.6088145090359074
100,-167.0,0.6057704364907278
101,-166.0,0.6027415843082742
102,-237.5,0.5997278763867329
103,128.5,0.5967292370047992
104,-316.5,0.5937455908197752
105,-402.5,0.5907768628656763
106,-134.0,0.5878229785513479
107,-240.5,0.5848838636585911
108,-198.0,0.5819594443402982
109,-300.0,0.5790496471185967
110,-103.5,0.5761543988830038
111,-179.0,0.5732736268885887
112,-341.0,0.5704072587541458
113,-19.0,0.567555222460375
114,-334.0,0.5647174463480732
115,-644.0,0.5618938591163328
116,-333.0,0.5590843898207511
117,-416.0,0.5562889678716474
118,-205.5,0.5535075230322891
119,-427.5,0.5507399854171277
120,-585.5,0.547986285490042
121,-666.0,0.5452463540625918
122,-540.5,0.5425201222922789
123,20.0,0.5398075216808175
124,-391.0,0.5371084840724134
125,-28.0,0.5344229416520513
126,-38.5,0.531750826943791
127,-326.0,0.5290920728090721
128,-192.0,0.5264466124450268
129,-33.0,0.5238143793828016
130,-175.5,0.5211953074858876
131,-124.5,0.5185893309484582
132,-233.0,0.5159963842937159
133,-24.0,0.5134164023722473
134,-392.5,0.510849320360386
135,-102.0,0.5082950737585841
136,-687.5,0.5057535983897912
137,-393.0,0.5032248303978422
138,-227.0,0.500708706245853
139,-212.0,0.4982051627146237
140,57.0,0.49571413690105054
141,-227.5,0.4932355662165453
142,-1043.0,0.4907693883854626
143,-160.5,0.4883155414435353
144,-305.0,0.4858739637363176
145,-254.5,0.483444593917636
146,-268.0,0.4810273709480478
147,-624.0,0.47862223409330756
148,-468.5,0.47622912292284103
149,-350.0,0.4738479773082268
150,-256.5,0.47147873742168567
151,-224.5,0.46912134373457726
152,-433.0,0.46677573701590436
153,-264.5,0.46444185833082485
154,-162.5,0.46211964903917074
155,-624.0,0.4598090507939749
156,-497.5,0.457510005540005
157,-237.5,0.45522245551230495
158,-966.0,0.4529463432347434
159,-211.0,0.4506816115185697
160,-153.5,0.4484282034609769
161,-626.5,0.446186062443672
162,-579.0,0.4439551321314536
163,-269.0,0.4417353564707963
164,-410.5,0.43952667968844233
165,-571.5,0.43732904629000013
166,-421.5,0.4351424010585501
167,-536.5,0.43296668905325736
168,-303.0,0.43080185560799106
169,-235.0,0.4286478463299511
170,-376.5,0.42650460709830135
171,-277.5,0.42437208406280985
172,-312.5,0.4222502236424958
173,-683.0,0.42013897252428334
174,-345.5,0.4180382776616619
175,-328.5,0.4159480862733536
176,-551.5,0.41386834584198684
177,-449.0,0.4117990041127769
178,-274.5,0.40974000909221303
179,-79.0,0.40769130904675194
180,-431.0,0.40565285250151817
181,-605.5,0.4036245882390106
182,-504.5,0.4016064652978155
183,-598.0,0.3995984329713264
184,-418.5,0.3976004408064698
185,-684.0,0.39561243860243744
186,-508.5,0.3936343764094253
187,-313.5,0.39166620452737816
188,-403.5,0.3897078735047413
189,-288.5,0.3877593341372176
190,-377.5,0.3858205374665315
191,-96.0,0.38389143477919885
192,-410.5,0.3819719776053028
193,-340.0,0.3800621177172763
194,-284.5,0.37816180712868996
