episode,score
1,-6140.5
2,-2463.0
3,-300.0
4,-2399.5
5,-4046.0
6,-57.0
7,-1823.0
8,-1181.5
9,-901.0
10,-2477.5
11,457.0
12,1247.0
13,-3941.5
14,-4491.5
15,-120.5
16,-131.5
17,1129.0
18,-658.0
19,-2230.5
20,243.5
21,-933.5
22,675.5
23,-2801.0
24,-414.5
25,-1400.5
26,-1138.5
27,-530.0
28,-313.5
29,-729.0
30,-1270.0
31,-2068.5
32,-1040.0
33,-1353.0
34,186.5
35,-1693.5
36,-4897.5
37,-2881.0
38,-2691.0
39,-3298.0
40,-3540.0
41,-2233.5
42,-1597.5
43,-2380.5
44,447.0
45,-2718.0
46,-1888.0
47,-2058.0
48,-1811.0
49,273.0
50,-1000.0
51,-543.5
52,-2200.0
53,-671.5
54,-925.5
55,-1832.0
56,-1089.5
57,-2944.5
58,-2006.5
59,-1596.0
60,-808.5
61,-2456.5
62,-635.5
63,-412.0
64,-1166.5
65,-3276.0
66,-1945.5
67,-2068.5
68,-1860.5
69,-327.0
70,-1590.5
71,-1675.5
72,-409.5
73,-1190.5
74,-796.5
75,612.5
76,-882.0
77,-1918.5
78,-1012.0
79,-2468.5
80,-308.0
81,-1972.5
82,-1051.0
83,-2012.5
84,-1181.5
85,-54.5
86,-408.5
87,-567.5
88,178.0
89,-1026.5
90,-949.0
91,-852.5
92,1003.5
93,-432.5
94,-261.5
95,-1925.0
96,-1530.0
97,-1467.5
98,-684.5
99,-1580.5
100,-931.5
101,-1419.0
102,-1757.5
103,-885.0
104,-1789.0
105,-2844.5
106,-1610.0
107,-1250.5
108,-2309.0
109,-2297.0
110,-2190.5
111,-2728.5
112,-1233.0
113,-2496.5
114,-3956.0
115,-2062.5
116,-1981.0
117,-2375.0
118,-2743.5
119,-3467.0
120,-2223.5
121,-3078.5
122,-3358.5
123,-3503.0
124,-1497.5
125,-423.0
126,-1474.5
127,-1710.5
128,-2325.5
129,-2207.0
130,-1003.5
131,-1677.0
132,-1558.5
133,-1801.5
134,-1202.0
135,-2173.5
136,-1859.0
137,-841.5
138,-1337.0
139,-2276.5
140,-1414.5
141,-451.0
142,-2260.0
143,-351.0
144,-1303.0
145,-262.0
146,214.0
147,-1506.0
148,-885.5
149,-2305.0
150,-506.5
151,-686.0
152,-423.0
153,-895.5
154,-730.0
155,-1018.0
156,-499.0
157,59.5
158,-301.0
159,-744.0
160,183.0
161,-696.5
162,-604.0
163,399.0
164,-1223.5
165,-1078.0
166,-598.0
167,-193.0
168,-962.0
169,-1086.0
170,-1455.5
171,-1556.5
172,-287.5
173,-239.5
174,-1760.5
175,-1013.0
176,-1785.0
177,-496.0
178,-1039.5
179,-1072.0
180,-607.5
181,-493.0
182,-1465.5
183,-854.5
184,-1646.5
185,-49.0
186,-717.0
187,-1491.5
188,-1324.0
189,-1463.5
190,-1186.0
191,-1738.0
192,-1442.5
193,-1269.0
194,-2819.0
195,-2685.0
196,-1331.5
197,-2338.0
198,-2151.0
199,-779.5
200,-2079.5
201,-1484.5
