episode,score
1,-6953.0
2,-233.5
3,-1394.0
4,-1850.5
5,-2836.5
6,496.0
7,-1327.5
8,836.5
9,-1147.0
10,-1368.0
11,1826.5
12,1257.5
13,-2525.0
14,-1056.0
15,-1820.0
16,352.5
17,759.0
18,212.5
19,-767.0
20,-1095.5
21,-2778.5
22,-1413.5
23,-2782.5
24,-9.0
25,-2911.5
26,-358.5
27,-412.5
28,-259.0
29,-533.5
30,-518.0
31,-2960.5
32,-1393.0
33,-1374.5
34,-231.5
35,-1424.5
36,-3871.0
37,-1093.5
38,-2152.0
39,-2618.0
40,-2179.5
41,-314.0
42,-1288.0
43,-2592.5
44,-269.5
45,-1987.5
46,-1167.0
47,-1828.0
48,-1195.5
49,468.5
50,-474.5
51,-1097.0
52,-2087.0
53,-1396.0
54,-2338.0
55,-945.5
56,-1833.5
57,-2383.5
58,-2560.5
59,-3449.0
60,-730.0
61,-1888.5
62,-1429.0
63,-1643.0
64,-2911.5
65,-2959.5
66,-3050.0
67,-2649.0
68,-1842.5
69,-583.5
70,-1360.5
71,-1344.5
72,-2224.5
73,-2871.5
74,-2276.0
75,-1537.5
76,-1731.5
77,-2728.5
78,-2178.0
79,-2306.5
80,-1203.0
81,-3189.5
82,-1818.0
83,-2510.5
84,-1266.0
85,-1920.0
86,-1389.0
87,-1840.0
88,-1547.5
89,-1227.0
90,-3046.5
91,-2341.0
92,-1127.0
93,-1764.5
94,-1231.0
95,-2718.0
96,-2298.0
97,-2583.0
98,-2673.5
99,-1911.5
100,-2251.0
101,-2819.5
102,-2141.0
103,-3116.0
104,-2421.0
105,-4163.5
106,-3691.5
107,-3344.5
108,-2770.5
109,-4253.5
110,-4158.0
111,-1933.0
112,-2237.5
113,-3596.5
114,-3327.5
115,-1555.5
116,-2475.5
117,-2602.5
118,-2166.0
119,-2938.0
120,-2895.0
121,-2360.0
122,-2541.5
123,-2361.0
124,-2205.5
125,-2074.5
126,-1850.5
127,-1833.0
128,-2044.0
129,-2375.5
130,-1848.5
131,-1605.0
132,-1164.5
133,-2615.5
134,-1701.5
135,-2267.0
136,-2667.0
137,-1521.0
138,-1405.5
139,-1828.0
140,-901.0
141,-880.5
142,-2770.0
143,-1291.5
144,-1832.0
145,-902.5
146,-1371.0
147,-3961.0
148,-1729.5
149,-2764.5
150,-1877.5
151,-1137.5
152,-2221.0
153,-2020.0
154,-1723.5
155,-2185.5
156,-2001.0
157,-2663.0
158,-2243.0
159,-2197.0
160,-2393.5
161,-2422.0
162,-2370.0
163,-1996.0
164,-2609.0
165,-2456.0
166,-2142.5
167,-1308.0
168,-1874.5
169,-2644.0
170,-2635.0
171,-1564.0
172,-1703.5
173,-1661.0
174,-1779.5
175,-2667.5
176,-3126.5
177,-1767.5
178,-1726.0
179,-2459.5
180,-2458.5
181,-2387.5
182,-2295.5
183,-1846.5
184,-2641.0
185,-2695.0
186,-1168.5
187,-1897.5
188,-2500.0
189,-2970.5
190,-2111.0
191,-2651.5
192,-2129.0
193,-1787.0
194,-2497.0
195,-3058.5
196,-1422.5
197,-2588.5
198,-2367.0
199,-1983.0
200,-2168.0
201,-1625.0
202,-2002.5
203,-2278.5
204,-2485.0
205,-2361.5
206,-1394.5
207,-1257.5
208,-2117.5
209,-1245.0
210,-1501.0
211,-1995.0
212,-2273.0
213,-1336.5
214,-2387.5
215,-2489.0
216,-1868.0
217,-977.5
218,-2698.0
219,-1810.5
220,-1552.0
221,-2368.5
222,-2580.5
223,-2169.5
224,-2457.0
225,-1038.5
226,-2141.0
227,-2377.0
228,-1928.0
229,-2050.0
230,-1899.5
231,-2052.5
232,-2810.5
233,-3092.5
234,-1940.0
235,-1675.0
236,-1419.0
237,-2031.0
238,-1378.5
239,-2558.5
240,-3130.5
241,-2660.0
242,-1486.5
243,-1053.5
244,-2135.5
245,-1259.5
246,-2174.0
247,-1369.0
248,-1681.5
249,-2427.5
250,-2576.5
251,-3048.0
252,-2058.0
253,-1688.0
254,-1099.0
255,-3481.0
256,-905.5
257,-1585.5
258,-1849.0
259,-1297.5
260,-539.0
261,-3098.0
262,-1315.5
263,-2128.0
264,-1777.5
265,-2455.0
266,-1985.5
267,-2085.5
268,-1966.0
269,-2303.5
270,-1175.5
271,-2082.5
272,-1414.0
273,-1349.5
274,-1078.5
275,-1892.0
276,-2647.0
277,-3090.5
278,-2773.0
279,-2047.5
280,-2503.5
281,-1731.5
282,-2232.0
283,-2309.5
284,-1672.5
285,-1620.0
286,-2558.0
287,-1926.0
288,-2881.0
289,-3261.0
290,-2585.0
291,-2075.5
292,-2950.5
293,-2522.0
294,-3735.5
295,-2094.5
296,-2380.5
297,-2672.5
298,-4042.5
299,-1294.5
300,-2328.5
301,-3904.5
302,-3830.0
303,-3012.0
304,-4361.5
305,-3996.0
306,-3485.5
307,-4253.5
308,-2388.0
309,-4491.5
310,-3152.0
311,-2648.0
312,-1841.5
313,-2432.0
314,-3192.5
315,-3676.0
316,-2008.0
317,-1879.5
318,-1738.0
319,-2770.0
320,-2527.0
321,-2899.0
322,-1503.5
323,-1415.5
324,-1293.0
325,-2471.5
326,-2850.5
327,-2126.5
328,-2588.0
329,-2745.0
330,-798.5
331,-1812.0
332,-2563.5
333,-2483.0
334,-2365.5
335,-3010.0
336,-2053.0
337,-1791.0
338,-2264.5
339,-3713.5
340,-3047.5
341,-3103.0
342,-2912.0
343,-1670.0
344,-2585.0
345,-2328.0
346,-2173.0
347,-2087.0
348,-3043.0
349,-2664.5
350,-2394.5
351,-3264.0
352,-3320.0
353,-2542.5
354,-2360.0
355,-2829.5
356,-3101.0
357,-3071.5
358,-3283.0
359,-3962.5
360,-3299.0
361,-2527.0
362,-2348.5
363,-2349.0
364,-3500.0
365,-2558.5
366,-3259.0
367,-2031.5
368,-2836.0
369,-2991.5
370,-3446.0
371,-1635.5
372,-2630.5
373,-3648.5
374,-2523.5
375,-2209.5
376,-1470.0
377,-2414.0
378,-2985.0
