episode,score
1,-7673.0
2,-3338.0
3,-7227.5
4,-6369.0
5,-5846.0
6,-4573.5
7,-2649.0
8,-6382.0
9,-4466.0
10,-5843.0
11,-4366.0
12,-5124.5
13,-4704.0
14,-7071.0
15,-7127.5
16,-2592.5
17,-11061.0
18,-8732.5
19,-8212.5
20,-3377.0
21,-4961.0
22,-1637.5
23,-3864.0
24,-2893.0
25,-3855.0
26,-3253.0
27,-2026.0
28,-3508.5
29,-2533.0
30,-2336.0
31,-5390.0
32,-2958.0
33,-2805.0
34,-3161.0
35,-2216.5
36,-2994.0
37,-3044.0
38,1217.0
39,-3187.5
40,-4622.0
41,-1869.5
42,-1476.5
43,-1286.0
44,-3182.0
45,-2765.5
46,-848.5
47,-1037.0
48,-1531.5
49,-1878.0
50,-3996.5
51,-1231.0
52,-1080.5
53,197.0
54,-2491.5
55,-2699.5
56,282.5
57,-1972.0
58,-569.5
59,-68.5
60,-1104.0
61,344.0
62,-1257.5
63,455.0
64,-1044.0
65,-1373.5
66,-1222.0
67,-1241.5
68,228.5
69,-680.5
70,-603.5
71,139.0
72,-1595.5
73,353.5
74,-130.5
75,-1380.0
76,-1693.0
77,-537.0
78,-2362.0
79,-410.0
80,-1687.5
81,-106.5
82,-1906.0
83,-620.0
84,-1810.0
85,-1108.5
86,111.5
87,-495.0
88,-713.0
89,-821.0
90,367.0
91,-423.0
92,-96.5
93,-195.5
94,298.0
95,-1270.5
96,-871.0
97,-1113.0
98,-1813.5
99,-8.5
100,200.0
101,-1509.0
102,-488.5
103,-655.5
104,-1186.0
105,-288.0
106,-1484.0
107,-1563.5
108,-132.0
109,-1485.0
110,49.5
111,-411.0
112,-1707.5
113,-1155.0
114,-666.5
115,-1008.0
116,458.5
117,-397.0
118,-95.5
119,-740.0
120,-1228.5
121,159.5
122,-89.5
123,92.5
124,252.5
125,657.5
126,165.5
127,127.5
128,-148.5
129,252.5
130,-800.5
131,-469.0
132,-1552.0
133,449.0
134,-155.0
135,520.5
136,-98.0
137,-212.5
138,-848.5
139,-647.0
140,-811.5
141,-517.5
142,-545.5
143,4.0
144,-739.0
145,-35.5
146,362.5
147,118.5
148,-365.5
149,-957.5
150,10.0
151,32.5
152,339.0
153,-264.5
154,-609.5
155,-1251.0
156,-60.5
157,-229.5
158,629.5
159,219.0
160,-267.0
161,-418.0
162,-1163.5
163,303.5
164,557.0
165,463.5
166,596.5
167,520.0
