episode,score
1,-5740.0
2,-2487.0
3,-334.5
4,-2823.5
5,-3752.0
6,-1442.5
7,-2860.5
8,-1205.0
9,-2294.0
10,-3568.5
11,-491.0
12,-1550.0
13,-869.0
14,-4216.0
15,-1551.5
16,-3024.0
17,780.0
18,-2432.0
19,-3723.0
20,-1385.0
21,-3280.5
22,-2807.0
23,-3023.5
24,-2997.0
25,-6457.5
26,-2129.5
27,-3658.0
28,-4484.5
29,-2937.5
30,-2668.5
31,-3538.5
32,-3306.5
33,-3230.5
34,-1423.0
35,-4150.0
36,-6339.0
37,-2215.5
38,-2143.0
39,-3046.0
40,-4670.0
41,-1332.5
42,-3067.0
43,-3850.0
44,-844.5
45,-2775.0
46,-3627.0
47,-3759.0
48,-4811.5
49,-402.5
50,-3055.5
51,-3825.0
52,-3644.0
53,-3487.5
54,-2789.5
55,-1639.0
56,-3633.5
57,-5778.5
58,-4729.5
59,-4409.0
60,-2453.5
61,-4435.0
62,-4320.0
63,-4029.5
64,-3976.0
65,-5225.0
66,-5231.0
67,-5364.0
68,-5506.0
69,-4411.5
70,-6345.0
71,-7637.0
72,-4751.0
73,-5608.0
74,-4548.5
75,-4310.5
76,-5066.5
77,-6563.0
78,-4766.0
79,-6887.5
80,-3854.5
81,-5177.5
82,-4263.0
83,-6568.0
84,-4818.0
85,-3231.0
86,-3361.0
87,-5852.5
88,-3710.5
89,-4238.0
90,-4238.5
91,-5960.0
92,-2708.0
93,-3712.0
94,-4750.5
95,-5006.5
96,-5780.5
97,-5108.0
98,-3722.5
99,-4652.0
100,-3951.5
101,-4075.0
102,-3346.5
103,-1835.0
104,-2452.0
105,-4357.0
106,-2316.5
107,-2656.5
108,-3485.0
109,-3164.5
110,-3257.0
111,-2466.5
112,-993.5
113,-3458.5
114,-2624.0
115,-870.5
116,-1846.5
117,-1353.5
118,-1198.5
119,-1946.0
120,-1968.5
121,-1718.0
122,-2009.0
123,-1729.5
124,317.0
125,-401.5
126,-565.0
127,-785.5
128,-1205.0
129,-1850.0
130,-959.0
131,-299.5
132,-8.5
133,-2449.5
134,-2078.5
135,-1676.5
136,-1264.5
137,-548.5
138,-292.0
139,-299.0
140,-150.5
141,485.5
142,-1317.0
143,779.0
144,407.5
145,176.5
146,551.0
147,-1103.0
148,310.5
149,-1500.5
150,-712.5
151,379.0
152,202.0
153,-271.0
154,-147.0
155,-240.5
156,189.5
157,-213.5
158,471.5
159,158.5
160,775.5
161,-362.0
162,-359.5
163,734.5
164,-567.0
165,-693.0
166,424.5
167,-417.0
168,35.0
169,-349.5
170,-1633.5
171,-735.0
172,-636.0
173,254.0
174,-1249.5
175,-599.0
176,-1094.5
177,-672.0
178,-1272.0
179,-645.5
180,-368.5
181,-902.0
182,-1031.0
183,-80.0
184,-723.5
185,-368.0
186,-258.5
187,-458.5
188,-1615.5
189,-1351.0
190,-876.0
191,-1566.0
192,-483.0
193,-1557.0
194,-2342.5
195,-2859.0
196,-1133.0
197,-2446.5
198,-2147.5
199,-854.5
200,-1655.0
201,-193.0
202,-1761.0
203,-1637.5
204,-1551.0
205,-668.5
206,-560.0
207,-4.5
208,-1835.5
209,-984.0
210,-1646.5
211,-1401.5
212,-2473.5
213,-1300.5
214,-951.5
215,-672.0
216,-1313.0
217,-1025.5
218,-1756.0
219,-980.0
220,-292.5
221,-1713.5
222,-646.5
223,-851.0
224,-1819.0
225,-483.0
226,-853.5
227,-2488.5
228,-126.5
229,-1933.5
230,-1790.0
231,-751.5
232,-1215.5
233,-2377.5
234,-871.5
235,-206.5
236,111.5
237,-200.5
238,-8.5
239,-1273.5
240,-1110.5
241,-692.0
242,-855.5
243,455.0
244,-403.5
245,623.5
246,-158.5
247,-427.5
248,-298.0
249,-552.0
250,-1156.5
251,-752.0
252,-232.0
253,348.5
254,-170.0
255,-981.5
256,1.0
257,-374.5
258,-1000.0
259,231.5
260,88.5
261,-1325.0
262,-95.5
263,-211.5
264,-776.0
265,-243.0
266,-1289.0
267,-1159.5
268,-1182.5
269,-1861.0
270,-979.5
271,-2581.0
272,-1264.5
273,-1202.0
274,-627.0
275,-1706.0
276,-2782.0
277,-2342.5
278,-3126.5
279,-1852.5
280,-2832.5
281,-3108.5
282,-1934.0
283,-2930.0
284,-2509.5
285,-1876.5
286,-2065.0
287,-2014.0
288,-3514.5
289,-2071.0
290,-1882.5
291,-2309.5
292,-3068.5
293,-3257.5
294,-1881.5
295,-2579.5
296,-2749.0
297,-2634.5
298,-3479.5
299,-1351.0
300,-3606.0
301,-3668.0
302,-3432.0
303,-3474.0
304,-4398.5
305,-3752.0
306,-3771.0
307,-3419.0
308,-3524.5
309,-5068.0
310,-3407.5
311,-2985.5
312,-3406.0
313,-3687.5
314,-4917.5
315,-3999.0
316,-3514.5
317,-4440.5
318,-2527.5
319,-3179.5
320,-4130.0
321,-2354.5
322,-2950.5
323,-1628.0
324,-2177.0
325,-2985.5
326,-3287.5
327,-3033.0
328,-2218.5
329,-2628.0
330,-2618.5
331,-3011.0
332,-2657.5
333,-3071.5
334,-2405.5
335,-2684.0
336,-1888.0
337,-2260.5
338,-2631.0
339,-2717.5
340,-2277.0
341,-1606.0
342,-3001.5
343,-1866.0
344,-2166.5
345,-1269.5
346,-1760.0
347,-1981.0
348,-2811.5
349,-1603.5
350,-2189.0
351,-895.0
352,-2224.0
353,-2197.5
354,-1942.0
355,-2077.0
356,-2651.0
357,-2203.5
358,-1476.5
359,-1748.0
360,-1419.5
361,-1713.5
362,-1649.5
363,-2024.0
364,-2336.5
365,-1838.0
366,-1684.5
367,-1101.5
368,-2295.5
369,-2837.0
370,-2796.5
371,-2234.0
372,-1720.5
373,-1810.0
374,-1603.0
375,-1777.0
376,-2088.5
377,-1580.0
378,-1829.0
379,-3009.0
380,-2996.0
381,-2650.0
382,-1661.5
383,-2653.0
384,-3475.0
385,-1983.0
386,-3402.5
387,-3299.0
388,-1633.5
389,-1769.5
390,-2492.5
391,-2950.0
392,-766.0
393,-2366.0
394,-1146.0
395,-2895.5
396,-2131.5
397,-2635.0
398,-2922.5
399,-1610.0
400,-1987.5
401,-1797.5
402,-652.0
403,-151.0
404,-1197.5
405,-1090.5
406,-1130.5
407,-3047.0
408,-1579.0
409,-2185.0
410,-4150.5
411,-2479.0
412,-1099.5
413,-2217.0
414,-2078.0
415,-2429.0
416,-1613.5
417,-1409.5
418,-1910.5
419,-2290.0
420,-2582.5
421,-1280.5
422,-2546.0
423,-919.0
424,-3080.5
425,-2280.0
426,-2189.0
427,-2973.0
428,-3611.5
429,-2643.0
430,-3249.0
431,-2688.5
432,-3217.5
433,-2435.5
434,-1846.5
435,-2493.0
436,-1147.5
437,-1628.0
438,-2030.0
439,-2701.0
440,-2975.0
441,-2281.5
442,-3985.5
443,-2980.0
444,-2877.0
445,-3920.0
446,-3640.0
447,-2671.0
448,-3644.0
449,-2663.0
450,-2076.5
451,-3449.0
452,-2707.5
453,-2661.5
454,-2887.0
455,-3154.0
456,-3663.5
457,-2544.5
458,-4315.0
459,-2935.0
460,-3537.5
461,-2457.0
462,-1687.5
463,-2321.0
464,-2893.5
465,-2581.0
466,-2348.5
467,-1936.0
468,-1831.0
469,-2734.0
470,-2799.5
471,-2130.5
472,-1744.0
473,-2316.0
474,-2660.5
475,-1796.0
