episode,score
1,-5635.0
2,-1671.0
3,-3886.0
4,-1998.5
5,-4631.5
6,-840.5
7,-1799.0
8,-2087.0
9,-1106.5
10,-2000.5
11,-483.0
12,-850.0
13,-1241.0
14,-1268.5
15,-1835.5
16,-438.0
17,-805.0
18,-1262.5
19,-442.5
20,-147.5
21,-615.5
22,-151.5
23,-57.0
24,-390.5
25,-127.5
26,-315.5
27,-230.5
28,78.5
29,-168.0
30,-150.0
31,-168.0
32,28.5
33,-103.0
34,-39.5
35,-216.5
36,166.5
37,-65.5
38,-79.5
39,-335.5
40,-186.5
41,-224.5
42,-268.0
43,-27.0
44,-144.0
45,105.0
46,-98.5
47,-254.0
48,-6.5
49,-121.5
50,240.5
51,71.5
52,47.0
53,-110.0
54,-112.0
55,11.0
56,-58.0
57,228.0
58,-37.0
59,-156.0
60,280.0
61,71.0
62,125.5
63,73.0
64,6.0
65,-68.5
66,-116.0
67,-46.5
68,54.5
69,120.5
70,-135.5
71,117.5
72,158.0
73,-41.0
74,279.0
75,186.0
76,-125.5
77,86.0
78,-115.5
79,-102.0
80,-197.5
81,40.0
82,119.5
83,-205.5
84,-19.5
85,147.0
86,112.0
87,72.0
88,200.0
89,13.5
90,13.0
91,234.0
92,-98.5
93,-9.0
94,155.0
95,145.5
96,89.0
97,-80.0
98,-188.5
99,-52.5
100,32.0
101,-207.5
102,196.5
103,39.5
104,211.5
105,-99.5
106,159.5
107,269.0
108,-181.5
109,0.5
110,207.5
111,29.0
112,63.0
113,143.0
114,-11.5
115,47.5
116,-11.0
117,0.5
118,58.0
119,100.0
120,158.0
121,-122.5
122,335.5
123,160.5
124,178.5
125,311.5
126,47.5
127,119.0
128,205.0
129,227.5
130,-59.0
131,8.5
132,-108.0
133,-78.0
134,89.0
135,-28.0
136,-90.0
137,89.5
138,-67.0
139,21.0
140,49.5
141,96.0
142,-10.5
143,149.5
144,-180.0
145,231.5
146,176.0
147,-255.0
148,266.0
149,169.0
150,82.0
151,6.0
152,88.0
153,32.5
154,96.0
155,251.0
156,178.5
157,-95.0
158,-116.0
159,157.5
160,-58.5
161,14.0
162,27.5
163,182.5
164,34.5
165,156.0
166,46.0
167,-202.0
168,61.0
169,-12.5
170,168.0
171,136.0
172,144.0
173,139.0
174,150.0
175,69.5
176,-96.5
177,110.0
178,53.0
179,156.0
180,129.0
181,39.5
182,-84.5
183,-50.0
184,199.0
185,86.0
186,207.5
187,101.5
188,16.5
189,54.0
190,-13.5
191,95.0
192,-111.0
193,-147.0
194,106.5
195,-79.5
196,62.0
197,145.0
198,130.5
199,191.0
200,-67.0
201,116.0
202,242.5
203,-163.0
204,232.0
205,70.5
206,56.5
207,-39.5
208,116.0
209,-121.5
210,59.0
211,-9.5
212,10.0
213,142.0
214,-238.0
215,117.5
216,165.5
217,111.0
218,-5.5
219,126.5
220,196.0
221,25.5
222,-117.5
223,193.0
224,139.0
225,40.5
226,247.0
227,-58.0
228,65.0
229,-151.0
230,-89.0
231,216.0
232,-45.5
233,178.0
234,-251.5
235,-51.5
236,8.0
237,260.0
238,117.5
239,-8.0
240,175.0
241,106.0
242,33.0
243,-96.0
244,206.0
245,28.5
246,188.5
247,119.0
248,-168.0
249,17.5
250,-4.5
251,120.0
252,-97.5
253,-59.0
254,97.0
255,94.5
256,142.5
257,328.0
258,108.0
259,-170.0
260,224.5
261,265.5
262,80.0
263,123.5
264,153.0
265,191.5
266,56.0
267,-26.5
268,122.5
269,53.0
270,75.5
271,171.5
272,-111.0
273,154.0
274,-57.5
275,177.5
276,78.0
277,252.0
278,14.5
279,82.5
280,136.5
281,266.5
282,202.0
283,118.0
284,238.5
285,-197.0
286,140.5
287,92.5
288,147.0
289,133.5
290,302.5
291,118.0
292,25.0
293,117.5
294,109.0
295,-0.5
296,37.0
297,77.5
298,-5.0
299,68.0
300,-7.5
301,252.5
302,107.5
303,99.0
304,263.5
305,13.0
306,179.5
307,-60.5
308,-84.5
309,28.0
310,108.0
311,165.5
312,99.0
313,153.5
314,64.5
315,-4.5
316,171.5
317,34.5
318,27.5
319,17.0
320,245.0
321,267.0
322,291.0
323,-31.5
324,248.0
325,172.0
326,55.0
327,79.0
328,150.5
329,119.0
330,40.5
331,153.5
332,-114.5
333,273.5
334,17.5
335,-60.0
336,44.0
337,-273.5
338,53.5
339,140.0
340,-54.5
341,38.0
342,217.0
343,17.5
344,163.5
345,145.5
346,-31.5
347,205.5
348,-96.5
349,134.5
350,199.0
351,21.5
352,84.5
353,176.0
354,-30.0
355,17.5
356,251.5
357,261.5
358,-79.5
359,-162.0
360,102.5
361,156.0
362,137.0
363,-13.5
364,133.5
365,14.5
366,88.5
367,137.0
368,192.5
369,247.5
370,238.5
371,124.5
372,-123.5
373,227.5
374,-24.5
375,138.5
376,144.0
377,-103.0
378,159.5
379,71.5
380,364.0
381,189.0
382,69.5
383,108.0
384,226.5
385,-35.0
386,128.0
387,-36.5
388,168.5
389,80.0
390,-206.0
391,159.5
392,146.0
393,69.5
394,68.0
395,188.5
396,111.5
397,327.5
398,259.5
399,-11.5
400,-102.5
401,-40.5
402,117.0
403,37.0
404,64.0
405,251.0
406,-26.0
407,158.5
408,79.0
409,36.0
410,207.0
411,62.5
412,37.5
413,52.5
414,77.0
415,115.5
416,76.0
417,59.0
418,46.0
419,186.0
420,57.5
421,264.5
422,-2.0
423,33.5
424,68.0
425,205.5
426,273.0
427,91.5
428,249.0
