episode,score
1,-3125.5
2,-2359.0
3,-1233.0
4,-1792.5
5,-4343.5
6,-359.5
7,-365.0
8,-1363.0
9,-787.0
10,-813.5
11,-791.0
12,-1027.5
13,-713.5
14,-1169.0
15,-1099.0
16,-413.0
17,-437.0
18,-558.0
19,-612.5
20,-291.0
21,-188.0
22,-265.5
23,-585.0
24,-666.5
25,-863.5
26,-596.0
27,-464.0
28,-339.0
29,-419.5
30,-181.0
31,-235.0
32,-505.5
33,-128.0
34,-200.0
35,-252.0
36,-339.5
37,-241.5
38,-207.0
39,-517.0
40,-299.0
41,-498.0
42,-78.5
43,-467.0
44,-423.0
45,-402.5
46,-241.5
47,-176.0
48,-250.5
49,-375.5
50,-223.5
51,-491.0
52,-352.0
53,-72.0
54,-92.0
55,-713.0
56,-485.0
57,-117.5
58,-283.5
59,-289.5
60,-329.5
61,-511.0
62,-211.5
63,-315.0
64,-578.0
65,-108.0
66,-470.0
67,-188.0
68,-148.0
69,-627.5
70,-273.0
71,-336.5
72,-338.5
73,-273.0
74,-475.5
75,-414.5
76,-308.0
77,-493.0
78,-444.0
79,-435.5
80,-550.0
81,-359.5
82,-447.0
83,-506.0
84,-385.5
85,-461.0
86,-378.5
87,-323.5
88,-338.0
89,-573.0
90,-398.0
91,-581.0
92,-335.5
93,-458.0
94,-157.0
95,-394.5
96,-343.5
97,-383.5
98,-336.5
99,-700.0
100,-368.5
101,-636.0
102,-299.0
103,-427.5
104,-368.5
105,-396.5
106,-361.0
107,-478.5
108,-213.5
109,-421.5
110,-383.0
111,-329.0
112,-644.0
113,-357.5
114,-272.5
115,-276.0
116,-322.5
117,-471.0
118,-286.5
119,-457.5
120,-379.5
121,-293.5
122,-429.5
123,-517.0
124,-185.0
125,-292.0
126,-528.0
127,-199.0
128,-268.5
129,-786.0
130,-359.0
131,-200.0
132,-357.5
133,-425.0
134,-605.0
135,-533.0
136,-759.0
137,-422.5
138,-647.0
139,-710.5
140,-528.5
141,-315.0
142,-492.0
143,-247.5
144,-321.0
145,-409.5
146,-333.0
147,-431.5
148,-473.5
149,-593.0
150,-395.5
151,-553.0
152,-539.5
153,-349.0
154,-635.5
155,-241.0
156,-424.0
157,-464.5
158,-303.5
159,-490.0
160,-258.5
161,-366.0
162,-255.0
163,-402.0
164,-566.0
165,-469.0
166,-368.0
167,-230.5
168,-535.5
169,-480.5
170,-140.0
171,-352.5
172,-241.0
173,-406.0
174,-469.0
175,-378.5
176,-407.0
177,-626.5
178,-350.0
179,-652.0
180,-188.5
181,-462.0
182,-487.5
183,-202.5
184,-743.0
185,-361.0
186,-523.5
187,-205.5
188,-303.5
189,-371.5
190,-715.5
191,-443.5
192,-420.0
193,-647.5
194,-523.5
195,-365.0
196,-611.0
197,-338.0
198,-404.0
199,-213.0
200,-404.0
201,-469.5
202,-269.5
203,-464.5
204,-430.5
205,-400.5
206,-584.0
207,-437.0
208,-470.5
209,-264.5
210,-556.5
211,-276.0
212,-441.0
213,-377.0
214,-313.5
215,-358.5
216,-618.5
217,-870.5
218,-619.0
219,-561.0
220,-351.0
221,-261.0
222,-386.0
223,-458.0
224,-277.5
225,-76.0
226,-403.0
227,-733.5
228,-451.0
229,-475.5
230,-378.0
231,-238.0
232,-271.5
233,-257.5
234,-353.5
235,-274.0
236,-526.5
237,-419.5
238,-483.5
239,-417.0
240,-530.5
241,-342.0
242,-429.5
243,-787.0
244,-420.5
245,-510.0
246,-477.5
247,-433.5
248,-278.5
249,-352.5
250,-436.5
251,-546.5
252,-513.0
253,-359.5
254,-634.5
255,-348.0
256,-470.0
257,-275.5
258,-433.0
259,-546.0
260,-364.5
261,-422.5
262,-332.0
263,-250.0
264,-338.0
265,-142.5
266,-708.0
267,-354.5
268,-511.5
269,-426.0
270,-439.0
271,-245.5
272,-462.5
273,-344.0
274,-182.0
275,-488.0
276,-335.0
277,-350.0
278,-285.0
279,-488.5
280,-242.5
281,-368.0
282,-300.0
283,-522.0
284,-705.0
285,-338.5
286,-467.0
287,-289.0
288,-377.0
289,-537.0
290,-526.5
291,-532.5
292,-506.0
293,-459.5
294,-205.0
295,-613.5
296,-234.0
297,-327.5
298,-520.0
299,-331.0
300,-411.5
301,-369.0
302,-382.0
303,-438.0
304,-444.0
305,-300.0
306,-584.5
307,-305.0
308,-511.5
309,-497.5
310,-252.5
311,-534.5
312,-280.5
313,-339.5
314,-330.0
315,-589.0
316,-455.0
317,-365.5
318,-375.5
319,-766.5
320,-542.5
321,-160.0
322,-465.0
323,-231.5
324,-491.5
325,-322.0
326,-492.5
327,-210.5
328,-406.0
329,-634.5
330,-413.5
331,-179.5
332,-546.0
333,-236.0
334,-442.0
335,-427.5
336,-563.0
337,-554.0
338,-349.5
339,-378.0
340,-690.0
341,-256.5
342,-386.0
343,-635.0
344,-110.0
345,-514.5
346,-209.0
347,-369.0
348,-581.0
349,-447.0
350,-137.5
351,-357.0
352,-557.5
353,-383.0
354,-578.0
355,-300.5
356,-307.5
357,-369.5
358,-443.0
359,-448.0
360,-393.5
361,-407.5
362,-677.0
363,-378.5
364,-382.0
365,-692.5
366,-166.5
367,-307.0
368,-535.5
369,-545.5
370,-261.0
371,-426.0
372,-656.0
373,-276.5
374,-651.0
375,-411.0
376,-419.5
377,-476.5
378,-242.0
379,-281.0
380,-447.0
381,-546.0
382,-501.5
383,-265.5
384,-225.5
385,-237.5
386,-384.5
387,-637.0
388,-410.0
389,-701.0
390,-414.5
391,-489.5
392,-450.5
393,-196.5
394,-322.5
395,-425.5
396,-356.0
397,-309.0
398,-459.5
399,-437.0
400,-404.0
401,-172.0
402,-393.5
403,-394.0
404,-657.0
405,-320.0
406,-374.5
407,-359.5
408,-304.0
409,-480.5
410,-492.5
411,-226.5
412,-240.0
413,-412.0
414,-515.5
415,-449.5
416,-265.0
417,-334.0
418,-678.0
419,-471.0
420,-607.5
421,-313.0
422,-253.0
423,-243.5
424,-359.5
425,-278.0
426,-325.5
427,-474.5
428,-526.5
429,-366.0
430,-423.5
431,-438.0
432,-449.0
433,-578.5
434,-472.0
435,-522.5
436,-641.5
437,-439.0
438,-280.0
439,-605.5
440,-447.5
441,-366.0
442,-439.0
443,-306.0
444,-333.5
445,-396.5
446,-412.0
447,-620.0
448,-662.0
449,-534.0
450,-214.0
451,-293.0
452,-311.0
453,-379.5
454,-293.5
455,-358.5
456,-401.5
457,-351.0
458,-255.0
459,-271.5
460,-367.5
461,-590.5
462,-596.5
463,-259.0
464,-406.5
465,-348.5
466,-283.0
467,-634.5
468,-425.0
469,-191.0
470,-420.5
471,-365.5
472,-156.5
473,-363.0
474,-308.5
475,-151.5
476,-711.0
477,-412.0
478,-450.0
479,-569.5
480,-461.5
481,-416.5
482,-480.0
483,-395.0
484,-349.5
485,-457.0
486,-458.5
487,-230.0
488,-528.0
489,-196.5
490,-483.0
491,-306.5
492,-586.5
493,-329.0
494,-598.5
495,-381.0
496,-300.0
497,-403.0
498,-436.5
499,-253.5
500,-489.0
501,-467.5
502,-428.0
503,-442.5
504,-267.5
505,-322.0
506,-590.5
507,-424.5
508,-472.5
509,-295.5
510,-389.0
511,-509.5
512,-479.5
513,-548.0
514,-331.5
515,-431.0
516,-333.5
517,-228.5
518,-525.5
519,-476.5
520,-270.5
521,-507.5
522,-177.0
523,-398.5
524,-352.5
525,-552.5
526,-603.0
527,-399.5
528,-388.0
529,-335.5
530,-410.5
531,-355.5
532,-511.5
533,-341.5
534,-673.0
535,-463.5
536,-395.0
537,-370.0
538,-200.5
539,-382.0
540,-300.5
541,-490.5
542,-278.5
543,-423.5
544,-380.0
545,-555.0
546,-793.0
547,-402.5
548,-483.5
549,-538.5
550,-433.5
551,-429.5
552,-313.5
553,-339.0
554,-515.5
555,-205.5
556,-433.5
557,-320.0
558,-586.0
559,-317.5
560,-406.5
561,-478.0
562,-218.0
563,-411.0
564,-402.5
565,-440.0
566,-290.5
567,-283.0
568,-608.5
569,-290.0
570,-359.5
571,-285.5
572,-347.5
573,-395.0
574,-324.5
575,-143.0
576,-360.0
577,-254.0
578,-342.0
579,-154.5
580,-438.0
581,-263.0
582,-510.0
583,-290.5
584,-476.0
585,-331.5
586,-350.0
587,-293.5
588,-370.0
589,-430.0
590,-549.0
591,-653.5
592,-205.0
593,-305.0
594,-213.5
595,-313.5
596,-297.0
597,-205.5
598,-380.5
599,-354.5
600,-436.0
601,-355.5
602,-401.0
603,-440.0
604,-316.5
605,-325.5
606,-516.0
607,-494.0
608,-304.5
609,-373.5
610,-315.0
611,-376.5
612,-595.5
613,-409.5
614,-290.0
615,-246.5
616,-422.5
617,-390.0
618,-360.0
619,-524.5
620,-420.5
621,-472.5
622,-348.0
623,-469.5
624,-502.0
625,-556.0
626,-395.0
627,-580.5
628,-342.5
629,-674.0
630,-327.5
631,-447.0
632,-498.5
633,-420.0
634,-378.5
635,-410.5
636,-495.5
637,-500.0
638,-585.5
639,-424.0
640,-259.0
641,-518.0
642,-375.0
643,-505.0
644,-469.0
645,-535.5
646,-421.0
647,-354.5
648,-332.0
649,-318.5
650,-368.0
651,-553.5
652,-461.5
653,-343.5
654,-395.5
655,-684.0
656,-231.0
657,-575.0
658,-410.5
659,-477.5
660,-398.5
661,-188.0
662,-370.5
663,-384.5
664,-606.0
665,-304.5
666,-463.0
667,-321.0
668,-258.0
669,-370.5
670,-353.0
671,-279.5
672,-333.0
673,-535.5
674,-306.0
675,-168.5
676,-448.0
677,-265.5
678,-248.0
679,-317.0
680,-289.5
681,-534.5
682,-293.0
683,-381.0
684,-285.5
685,-381.5
686,-451.0
687,-340.0
688,-217.5
689,-291.0
690,-355.0
691,-301.0
692,-291.0
693,-284.0
694,-289.5
695,-479.5
696,-261.0
697,-410.0
698,-334.5
699,-427.5
700,-491.5
701,-406.0
702,-294.5
703,-233.5
704,-350.5
705,-448.5
706,-306.5
707,-377.0
708,-493.0
709,-232.0
710,-319.5
711,-277.5
712,-509.5
713,-433.5
714,-334.0
715,-357.5
716,-169.5
717,-145.0
718,-169.0
719,-342.0
720,-295.5
721,-272.0
722,-487.5
723,-477.0
724,-488.5
725,-182.5
726,-281.5
727,-321.0
728,-211.5
729,-417.5
730,-268.0
731,-362.0
732,-199.5
733,-116.0
734,-329.0
735,-207.5
736,-421.0
737,-355.0
738,-394.0
739,-333.0
740,-109.0
741,-183.5
742,-466.5
743,-193.5
744,-437.0
745,-300.5
746,-392.5
747,-240.0
748,-450.5
749,-164.0
750,-535.0
751,-274.5
752,-164.0
753,-505.5
754,-327.5
755,-245.5
756,-252.5
757,-351.0
758,-363.5
759,-240.5
760,-255.5
761,-414.0
762,-212.0
763,-168.5
764,-349.0
765,-308.0
766,-385.0
767,-332.5
768,-349.5
769,-364.0
770,-467.0
771,-480.0
772,-222.5
773,-202.5
774,-180.0
775,-432.0
776,-308.0
777,-227.5
778,-317.5
779,-394.5
780,-231.0
781,-364.5
782,-395.0
783,-455.0
784,-311.5
785,-260.0
786,-247.0
787,-361.5
788,-516.0
789,-206.5
790,-341.0
791,-495.5
792,-569.0
793,-333.5
794,-295.5
795,-402.0
796,-368.5
797,-386.0
798,-407.0
799,-314.0
800,-344.0
801,-369.0
802,-428.0
803,-568.5
804,-207.0
805,-433.0
806,-454.5
807,-331.0
808,-421.0
809,-359.5
810,-269.5
811,-369.0
812,-325.0
813,-699.5
814,-163.5
815,-648.0
816,-352.5
817,-410.0
818,-307.0
819,-295.5
820,-340.5
821,-418.5
822,-681.5
823,-250.0
824,-474.5
825,-714.5
826,-134.5
827,-607.0
828,-339.0
829,-183.0
